Transaction ID,Account Number,Customer ID,Transaction Type,Transaction Date and Time,Transaction Amount,Closing Balance,Transaction Mode,Transaction Status,Merchant Category Code,Merchant ID,Merchant Name,Transaction Location,Transaction Type,Payment Mode
TX76612,ACC1,CUSTOMER1,Refund,10/13/2024 20:32,1500.18,2949.11,Mobile,Pending,Groceries,MER168,Merchant 7,Location 45,Debit,Wallet
TX95890,ACC1,CUSTOMER1,Transfer,1/15/2025 0:22,380.12,4919.65,Offline,Pending,Entertainment,MER631,Merchant 9,Location 49,Credit,Wallet
TX97026,ACC1,CUSTOMER1,Transfer,12/25/2024 15:35,160.67,6666.46,Mobile,Completed,Groceries,MER655,Merchant 14,Location 8,Debit,Debit Card
TX58902,ACC1,CUSTOMER1,Refund,1/7/2025 11:45,274.78,8274.03,Offline,Completed,Entertainment,MER214,Merchant 66,Location 42,Credit,Debit Card
TX48916,ACC1,CUSTOMER1,Refund,9/28/2024 5:25,68.31,898.09,Mobile,Completed,Entertainment,MER125,Merchant 83,Location 36,Debit,Net Banking
TX12371,ACC1,CUSTOMER1,Purchase,12/30/2024 20:41,101.88,8326.78,Mobile,Failed,Entertainment,MER391,Merchant 27,Location 48,Debit,Wallet
TX22122,ACC1,CUSTOMER1,Refund,11/7/2024 15:26,75.43,4182.82,Mobile,Pending,Groceries,MER634,Merchant 78,Location 44,Debit,Debit Card
TX23261,ACC1,CUSTOMER1,Refund,1/16/2025 10:37,118.06,1145.89,Mobile,Pending,Groceries,MER516,Merchant 95,Location 12,Credit,Wallet
TX23518,ACC1,CUSTOMER1,Transfer,2/16/2025 8:53,380.55,7746.92,Online,Failed,Electronics,MER222,Merchant 57,Location 48,Debit,Wallet
TX42822,ACC1,CUSTOMER1,Transfer,3/1/2025 13:10,462.7,6591.54,Online,Failed,Clothing,MER941,Merchant 74,Location 9,Debit,Debit Card
TX51813,ACC1,CUSTOMER1,Refund,3/7/2025 20:32,408.58,6176.77,Offline,Failed,Entertainment,MER172,Merchant 51,Location 11,Debit,Credit Card
TX79395,ACC1,CUSTOMER1,Transfer,10/7/2024 6:37,328.46,6437.8,Offline,Pending,Groceries,MER766,Merchant 6,Location 12,Credit,Debit Card
TX41659,ACC1,CUSTOMER1,Transfer,2/17/2025 10:09,202.73,3961.9,Offline,Completed,Clothing,MER566,Merchant 82,Location 3,Credit,Wallet
TX49278,ACC1,CUSTOMER1,Transfer,2/21/2025 18:09,105.31,9755.73,Online,Completed,Entertainment,MER356,Merchant 54,Location 13,Debit,Wallet
TX92416,ACC1,CUSTOMER1,Refund,1/10/2025 6:04,131.79,3843.81,Online,Pending,Electronics,MER497,Merchant 83,Location 44,Debit,Wallet
TX23894,ACC1,CUSTOMER1,Transfer,10/15/2024 10:25,326.68,8658.47,Mobile,Completed,Electronics,MER637,Merchant 57,Location 35,Debit,Debit Card
